bassaladdanmášiidna	posâlâddâmmaašin
bassenmuorra	hältti
bassivuohta	paSevuotâ
bassivuohta	pasevuotâ
baste	pastem
bavssa	poovsâ
beaggin	peggim
beahci	peeci
beahttašupmi	pettâšume
beahtus	piätus
beaika	pyekki
beaivegirji	peivikirje
beaiveloddi	piäi'vááloddááš
beaiveloddi	piäivááloddááš
beaiveruoktu	peivikiäč'ču
beaivi	peivi
beaivi	piäiváš~piäivâš
beaivvádat	piä'ivádâh
beakkohus	markkânsaahâ
bealbi	čäcinjuolâs
bealdu	piäl'du
bealdu	piäldu
bealgi	jyel'gipelgi
bealgi	jyelgipelgi
bealgi	pelgi
beallemas	piel'livâs
bealli	peeLi
beallji	pelji
bealátkeahtesvuohta	pelettemesvuotâ
beana	peenuv
beanaráidu	pe'nuvkuáLus
beara	perrâdâh
bearal	kässeekeđgi
bearaš	peerâ
beargalat	pergâlâh
bearjadat	vá'stuppeivi
bearjadat	vástuppeivi
beaska	peskâ
beaska	turkkâ
beassi	pessi
beassážat	pessijááh
beatnatdaŋas	pennuujuŋŋâ
beatnatgieldá	kaasirääSi~-rääsi
beatnatgieldá	kaasirääsi
beatnatgullan	penâkkullâm
beatnatrávra	jävriruáhu
beavdegirji	pevdikirje
beavdeliidni	pevdilijne
beavdi	pevdi
beađbi	čuá'máttâslyepi
beaŋka	peŋkkâ
bellodat	piä'Ládâh
bellodat	piäládâh
beloštus	piä'luštâs
beloštus	piäluštâs
benne	penni
bensiidna	bensin
beroštus	huoLâ
beroštus	huolâ
bessodat	saaveehvárvu
bessodat	čonâstoh~čonâstuh~čonâstâh
betoŋga	beetoon
beštor	pe'šnirihhááš
beštor	pešnirihhááš
bidjet	čuorvâkävppi
biebmoealli	jiellâh
biebmu	purrâmâš~purrâmuš
biellorássi	čuo'vjiskiäl'lurääSi~-rääsi
bierdni	pier'ni
bierdni	pierni
biergu	uáž'ži
bievla	piev'lâ
bievla	pievlâ
biggoheapmi	ááimumolsom
bihkaš	piihâš
bihkka	pikkâ
bihppor	pippâr
bihpporgáhkku	pippârkákku
bihttá	pittá
bihtánsámegiella	pittáámsämikieLâ
biibbal	ráámmát
biibbal	ráámmát~ráámmât
biigá	pijgá
biika	soođâ
biika	säggi
biila	avdo
biire	pirrâdâh
bilkideaddji	pilkkár
bilku	verâstâh
billár	stäjideijee
bindda	e'imâskâs
bindda	pačarâs
biografiija	eellimkerdi
biras	piirâs
biras	pirâstittee
birasoahppu	pirâsoppâ
bircu	kuđâhâš
birgenláhki	áigápuátu
biro	piiru
birračuohpahus	pirrâčuop'pâmvuotâ
bisma	pispe
bismagoddi	pispekodde
bismárra	pismár
bissu	pisso
bistu	pištem
bivastat	pivâstâh
bivdda	táttum
bivddus	piivdus
bivdi	kye'Lipivdee
bivdi	miä'cásteijee
bivdi	miäcásteijee
bivdi	pivdee
bivdu	miäcástem
bivdu	pivdo
bivgi	ohra
bivttas	piivtâs
bižus	piiččus
biđus	piär'gumäälis
bleahkka	lekkâ
bleahkka	peldi
